study,experiment,condition,n,design,design_note,presentation,framing,source,N_00,N_01,N_10,N_11,pEC,pEnoC,deltaP,power,actual_sample_size,virtual_sample_size,virtual_sample_size_level,published_deltaP,weighted_deltaP,rating,rating_SD,initial_confidence,initial_confidence_SD,final_confidence,final_confidence_SD,confidence,confidence_SD,question,scale,anchors,reference,note
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss16_Vss4,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous,generative,Table 1,4,12,3,13,0.8125,0.75,0.0625,0.25,16,4,small,0.06,0.36,12.23,20.55,29.69,22.92,35.42,25.5,35.42,25.5,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss16_Vss4,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,12,4,13,3,0.1875,0.25,-0.0625,0.25,16,4,small,-0.06,0.04,13.58,17.95,35.19,25.86,32.31,23.97,32.31,23.97,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss16_Vss12,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,12,4,9,7,0.4375,0.25,0.1875,0.25,16,12,medium,0.19,0.29,19.12,13.46,48.81,19.37,42.54,21.12,42.54,21.12,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss16_Vss12,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,4,12,7,9,0.5625,0.75,-0.1875,0.25,16,12,medium,-0.19,0.11,16.73,14.13,50.39,20.34,39.62,23.32,39.62,23.32,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss16_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,16,0,12,4,0.25,0,0.25,0.25,16,16,large,0.25,0.25,20.15,19.4,65.58,24.08,52.5,22.57,52.5,22.57,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss16_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,0,16,4,12,0.75,1,-0.25,0.25,16,16,large,-0.25,0.15,15.81,10.5,58.85,24.71,46.81,21.47,46.81,21.47,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss64_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,16,48,12,52,0.8125,0.75,0.0625,0.25,64,16,small,0.06,0.36,8.39,10.04,43.69,24.23,41.27,18.82,41.27,18.82,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss64_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,48,16,52,12,0.1875,0.25,-0.0625,0.25,64,16,small,-0.06,0.04,23.96,25.4,48.85,24.79,46.35,23.05,46.35,23.05,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss64_Vss48,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,48,16,36,28,0.4375,0.25,0.1875,0.25,64,48,medium,0.19,0.29,20.73,12.07,61.35,16.34,50.35,18.15,50.35,18.15,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss64_Vss48,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,16,48,28,36,0.5625,0.75,-0.1875,0.25,64,48,medium,-0.19,0.11,27.15,22.01,66.35,13.75,57.5,19.71,57.5,19.71,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow0p25_Ss64_Vss64,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,64,0,48,16,0.25,0,0.25,0.25,64,64,large,0.25,0.25,21,8.03,85.58,9.2,68.46,19.48,68.46,19.48,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow0p25_Ss64_Vss64,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,0,64,16,48,0.75,1,-0.25,0.25,64,64,large,-0.25,0.15,30.58,19.97,81.92,18.06,63.08,23.11,63.08,23.11,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss16_Vss4,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,4,12,0,16,1,0.75,0.25,1,16,4,small,0.25,0.55,46.04,41.8,33.35,24.61,42.15,27.27,42.15,27.27,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss16_Vss4,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,12,4,16,0,0,0.25,-0.25,1,16,4,small,-0.25,-0.15,65.5,42.88,37.69,29.71,45.58,30.41,45.58,30.41,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss16_Vss12,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,12,4,0,16,1,0.25,0.75,1,16,12,medium,0.75,0.85,80.96,19.6,52.39,20.6,66.08,19.01,66.08,19.01,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss16_Vss12,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,4,12,16,0,0,0.75,-0.75,1,16,12,medium,-0.75,-0.45,87.5,20.7,53.73,18.96,63.46,23.48,63.46,23.48,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss16_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,16,0,0,16,1,0,1,1,16,16,large,1,1,90.96,20.05,69.35,22.85,81.08,12.67,81.08,12.67,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss16_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,0,16,16,0,0,1,-1,1,16,16,large,-1,-0.6,93.27,17.14,58.92,21.81,69.23,24.5,69.23,24.5,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
