study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,pE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW, rating,question,scale,anchors,reference,note,,,,,,,,,,,,,,,
Perales & Shanks (2004),1a,,,,,,,generative,,36,4,8,32,0.90,0.20,0.70,0.88,0.50,0.55,0.74,0.84,0.75,20.27,-3.47,0.76,0.71,72,,,,,,,,,,,,,,,,,,,,
Perales & Shanks (2004),1a,,,,,,,generative,,22,18,4,36,0.55,0.10,0.45,0.50,0.50,0.33,0.47,0.54,0.45,8.31,-2.69,0.43,0.43,46,,,,,,,,,,,,,,,,,,,,
Perales & Shanks (2004),1a,,,,,,,generative,,36,4,32,8,0.90,0.80,0.10,0.50,0.50,0.85,0.25,0.28,0.38,0.57,-2.93,0.38,0.11,40,,,,,,,,,,,,,,,,,,,,
Perales & Shanks (2003),1,,,16,within-subjects,every participant had to work on each of four different conditions,trial-by-trial,bidirectional,Table 3,10,0,6,4,1.00,0.60,0.40,1.00,0.50,0.80,0.51,0.58,0.67,2.36,-2.40,0.61,0.44,87,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),1,,,16,within-subjects,every participant had to work on each of four different conditions,trial-by-trial,bidirectional,Table 3,4,6,0,10,0.40,0.00,0.40,0.40,0.50,0.20,0.40,0.46,0.37,1.46,-1.25,0.31,0.37,35,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),1,,,16,within-subjects,every participant had to work on each of four different conditions,trial-by-trial,bidirectional,Table 3,6,4,10,0,0.60,1.00,-0.40,-0.40,0.50,0.80,-0.21,-0.25,-0.28,-1.25,1.46,-0.10,-0.44,3,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),1,,,16,within-subjects,every participant had to work on each of four different conditions,trial-by-trial,bidirectional,Table 3,0,10,4,6,0.00,0.40,-0.40,-1.00,0.50,0.20,-0.32,-0.38,-0.69,-2.40,2.36,-0.58,-0.37,-64,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,10,0,1,9,1.00,0.10,0.90,1.00,0.50,0.55,0.92,1.05,0.89,8.19,-2.40,0.93,0.91,92,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,10,0,7,3,1.00,0.70,0.30,1.00,0.50,0.85,0.43,0.49,0.62,1.70,-2.40,0.55,0.33,61,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,8,2,8,2,0.80,0.80,0.00,0.00,0.50,0.80,0.15,0.17,0.19,-0.28,-1.36,0.27,0.00,25,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
