study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,8,0,8,24,,,.75',,.2,,,,,,,,,48.26,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,16,0,6,18,,,.75',,.4,,,,,,,,,64.05,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,24,0,4,12,,,.75',,.6,,,,,,,,,74.81,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,32,0,2,6,,,.75',,.8,,,,,,,,,88.33,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,6,2,0,32,,,.75',,.2,,,,,,,,,79.79,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,12,4,0,24,,,.75',,.4,,,,,,,,,58.33,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,18,6,0,16,,,.75',,.6,,,,,,,,,58.38,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 2,24,8,0,8,,,.75',,.8,,,,,,,,,59.6,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,8,0,16,16,,,.5',,.2,,,,,,,,,30.29,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,16,0,12,12,,,.5',,.4,,,,,,,,,44.55,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
