study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,4,4,0,,,-0.5,,,,,,,,,,,-11.3,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,4,8,0,,,-0.5,,,,,,,,,,,-28.85,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,8,4,0,,,-0.67,,,,,,,,,,,-27.87,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,8,8,0,,,-0.67,,,,,,,,,,,-29.47,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,4,4,0,,,-0.33,,,,,,,,,,,9.95,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,4,8,0,,,-0.33,,,,,,,,,,,-0.45,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,8,4,0,,,-0.5,,,,,,,,,,,-0.35,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,8,8,0,,,-0.5,,,,,,,,,,,-9.47,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,4,0,4,,,0.5,,,,,,,,,,,27.92,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,4,0,8,,,0.5,,,,,,,,,,,27.75,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
