id,study,experiment,n,framing,N_11,N_10,N_01,N_00,pEC,pEnoC,deltaP,power,sample_direction,rating,reference
1,Perales & Shanks (2004),1a,NA,generative,36,4,8,32,0.9,0.2,0.7,0.8749999999999999,generative,72,"Perales, J. C., & Shanks, D. R. (2004, May). The cause–density effect as a tool to discriminate between causal learning models. Paper presented at the Special Interest Meeting on Human Contingency Learning, Lignely, Belgium."
2,Perales & Shanks (2004),1a,NA,generative,22,18,4,36,0.55,0.1,0.45000000000000007,0.5000000000000001,generative,46,"Perales, J. C., & Shanks, D. R. (2004, May). The cause–density effect as a tool to discriminate between causal learning models. Paper presented at the Special Interest Meeting on Human Contingency Learning, Lignely, Belgium."
3,Perales & Shanks (2004),1a,NA,generative,36,4,32,8,0.9,0.8,0.09999999999999998,0.5,generative,40,"Perales, J. C., & Shanks, D. R. (2004, May). The cause–density effect as a tool to discriminate between causal learning models. Paper presented at the Special Interest Meeting on Human Contingency Learning, Lignely, Belgium."
4,Perales & Shanks (2003),1,16,bidirectional,10,0,6,4,1,0.6,0.4,1,generative,87,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
5,Perales & Shanks (2003),1,16,bidirectional,4,6,0,10,0.4,0,0.4,0.4,generative,35,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
6,Perales & Shanks (2003),1,16,bidirectional,6,4,10,0,0.6,1,-0.4,0.4,preventive,3,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
7,Perales & Shanks (2003),1,16,bidirectional,0,10,4,6,0,0.4,-0.4,1,preventive,-64,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
8,Perales & Shanks (2003),2,18,bidirectional,10,0,1,9,1,0.1,0.9,1,generative,92,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
9,Perales & Shanks (2003),2,18,bidirectional,10,0,7,3,1,0.7,0.30000000000000004,1,generative,61,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
10,Perales & Shanks (2003),2,18,bidirectional,8,2,8,2,0.8,0.8,0,0,zero,25,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
